RTF046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802	8	928	0	523	15	9	794	0	0	0	0	0	53	0	133	122	62	0	0	0	0	132	0	0	0	0	0	9	51	0	0	0	19664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	156	9	166	0	0	0	0	204	0	605	0	0	0	0	772	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	6	0	0	0	0	2076	0	0	0	0	0	0	0	0	0	0	0	60	23	0	0	183	0	74	0	0	0	0	0	0	0	271	0	0	408	0	0	12	47	2654	0	0	0	14	107	0	19	0	0	0	0	0	0	51	0	13	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	73	1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	702	0	112	0	0	0	0	0	0	0	0	22	0	629	654	0	16	10	389	0	10	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	151	10	0	0	0	0	0	0	0	279	0	0	0	0	0	0	9	5	0	12	0	0	0	21	0	848	0	15	0	47	0	0	0
RTF047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804	0	2246	0	573	24	0	966	0	0	0	0	0	61	0	181	153	51	0	0	0	13	136	0	0	0	0	0	6	18	0	0	0	21208	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	139	249	10	144	0	0	0	0	279	0	745	0	0	0	0	657	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	7	0	0	0	0	1886	0	0	0	0	0	0	0	0	0	0	0	67	40	0	0	244	10	125	0	0	0	0	0	0	0	359	0	0	432	16	0	23	55	4067	0	0	0	28	197	0	34	0	0	0	0	0	0	68	0	34	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	91	689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	686	0	157	0	0	0	0	0	0	0	0	80	0	1143	930	0	0	14	554	0	28	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5	216	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	9	0	0	4	0	0	0	45	0	1201	0	33	0	92	0	0	0
RTF048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	11	1452	0	453	16	28	800	8	0	0	0	0	73	0	141	135	45	0	0	0	4	91	0	0	0	0	0	18	55	0	0	0	22499	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	7	593	233	9	149	0	0	0	0	386	0	727	0	0	0	0	557	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	6	0	0	0	0	1692	0	0	0	0	0	0	0	0	0	0	0	87	31	0	0	220	0	133	0	0	8	0	0	0	0	407	0	0	449	12	0	36	54	3885	0	0	0	14	144	0	32	0	0	0	0	0	0	70	0	30	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	875	0	129	0	0	0	0	0	0	0	0	67	0	1212	820	0	0	22	693	0	35	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	157	7	5	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	18	0	0	0	20	0	1263	0	22	0	141	0	0	0
RTF049	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	763	19	1805	0	888	0	0	1662	0	13	0	0	11	32	0	152	146	98	0	0	0	10	126	0	0	0	0	0	0	53	0	0	0	17252	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	765	351	24	214	0	0	0	80	297	0	1086	0	0	4	0	715	81	0	0	10	0	49	4	0	0	0	0	0	0	3	0	0	0	0	98	29	0	0	0	0	2757	0	0	0	0	0	0	0	0	0	0	0	81	26	0	0	251	0	121	0	0	0	0	0	0	0	584	0	0	616	11	0	38	61	3699	0	0	0	26	248	0	42	0	0	0	0	0	0	83	0	16	0	0	0	6	0	0	93	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	281	1296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	1235	0	153	0	0	0	0	0	0	0	0	63	0	1519	643	0	0	15	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	202	9	0	0	0	0	0	0	0	327	0	0	0	0	0	0	5	0	0	7	0	0	0	40	0	1363	0	21	0	152	0	0	0
RTF050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	167	0	86	0	0	224	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	35891	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	203	47	0	11	0	0	0	0	7	0	21	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	14	0	0	0	0	0	0	0	0	0	19	0	3	14	0	0	0	0	195	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	60	0	0	0	0	0	0	0	0	51	0	4853	2654	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
RTF071	0	0	0	0	0	0	0	0	0	43	6	0	0	0	0	1217	16	514	0	2049	0	0	12096	49	11	0	0	0	0	0	202	32	72	0	0	0	7	18	0	0	0	0	0	0	813	7	0	0	11983	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	683	67	24	54	0	0	0	1147	146	0	1247	0	0	0	0	599	173	0	0	8	0	8	59	0	0	0	0	0	0	0	0	0	0	0	147	14	0	0	0	0	7069	0	0	0	0	0	0	0	0	0	0	0	618	42	0	0	247	0	91	103	5	71	0	0	0	0	1796	0	97	1597	0	0	101	186	2785	60	0	0	0	156	21	50	0	0	0	0	8	0	73	0	17	0	0	25	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	231	983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	1514	0	178	0	0	0	0	0	0	0	0	0	0	993	539	0	12	230	150	0	0	0	0	0	3	312	0	0	0	0	0	0	0	0	0	0	0	156	77	14	0	0	0	0	0	0	0	366	0	0	0	0	0	0	22	9	0	130	0	0	0	197	0	518	0	6	0	189	0	0	0
RTF072	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	2629	16	537	0	1364	0	0	6192	0	0	3	0	0	41	0	264	57	35	0	0	0	10	42	0	0	0	0	0	0	803	0	0	0	10365	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	1898	79	0	16	0	0	0	2502	312	0	1360	0	0	0	0	629	167	0	0	0	9	9	102	0	0	0	0	0	0	0	0	0	0	0	289	14	0	0	0	0	2854	0	0	0	0	0	0	0	0	0	0	0	289	72	0	0	215	0	0	25	9	13	0	0	0	0	1802	0	56	829	0	0	111	181	2997	0	0	0	4	90	6	66	0	0	0	0	0	0	119	0	37	0	0	49	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	356	1130	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	201	0	1439	0	183	0	0	0	0	0	0	0	0	11	0	1222	634	0	14	142	272	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	65	50	10	0	0	0	0	0	0	0	477	0	0	0	0	0	0	38	13	0	118	0	0	0	275	0	597	0	0	0	134	0	0	0
RTF073	0	0	0	0	3	0	0	0	0	34	0	0	0	0	0	1053	8	294	0	737	0	0	4920	0	0	0	0	6	0	0	99	56	36	0	0	0	0	8	0	0	0	0	0	0	286	0	0	0	9958	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	4	274	39	0	5	0	0	0	1095	57	0	645	0	0	0	0	447	101	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	100	3	0	0	0	5	2284	0	0	0	0	0	0	0	0	0	0	0	169	18	0	0	119	0	0	0	0	7	0	0	0	0	1162	0	50	595	0	0	70	100	1894	0	0	0	0	52	0	28	0	0	0	0	3	0	45	0	9	0	0	35	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	221	575	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	88	0	926	0	113	0	0	0	0	0	0	0	0	0	0	898	436	0	0	110	120	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	67	28	0	4	0	0	0	0	0	0	228	0	0	0	0	0	0	16	0	0	76	0	0	0	164	0	438	0	4	0	48	0	0	0
RTF074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1720	11	295	0	935	0	0	6412	0	0	3	0	9	0	0	178	42	49	0	0	0	10	29	0	0	0	0	0	0	434	2	0	0	8487	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	137	64	0	34	0	0	0	1390	117	0	1054	0	0	0	0	720	141	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	3570	0	0	0	0	0	0	0	0	0	0	0	133	25	0	0	126	0	0	0	0	10	0	0	0	0	1225	0	0	533	0	0	46	119	2512	0	0	0	0	93	11	16	0	0	0	0	0	0	75	0	10	0	0	35	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	1284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	1214	0	70	0	0	0	0	0	0	0	0	0	0	486	330	0	0	35	95	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	58	30	0	7	0	0	0	0	0	0	294	0	0	0	0	0	0	32	20	0	106	0	0	0	205	0	567	0	0	0	58	0	0	0
RTF076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4500	51	214	0	605	30	0	4880	175	0	0	0	50	0	0	1489	139	158	41	14	0	40	56	0	0	0	0	0	0	148	0	0	0	3353	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	107	67	0	101	0	0	0	0	246	0	2256	0	0	0	0	546	340	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	5	2178	0	0	0	0	0	0	0	0	0	0	0	14	118	0	0	0	0	0	0	0	9	0	0	0	0	2862	0	0	475	0	0	29	576	1897	0	0	0	29	189	0	82	0	0	0	0	41	0	168	0	34	0	0	0	0	0	0	2	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1705	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	572	0	1048	0	41	0	0	0	0	0	0	0	0	0	0	76	59	0	0	15	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	10	0	9	0	0	0	0	0	295	0	0	0	0	0	0	153	13	0	194	0	0	0	175	0	3436	0	8	0	44	0	0	0
RTF078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	0	219	0	270	0	0	2883	160	0	0	0	0	0	0	166	11	28	0	0	0	11	18	0	0	0	0	0	0	626	0	0	0	18069	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	3359	240	0	6	0	0	0	0	27	0	525	0	0	0	0	67	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	3764	0	0	0	0	0	0	0	0	0	0	0	34	12	0	0	0	0	0	0	0	0	0	0	0	0	658	0	8	112	0	0	0	81	530	0	0	0	0	42	15	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	425	0	420	0	0	0	0	0	0	0	0	70	0	4494	1569	0	0	15	59	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	28	0	0	14	0	0	0	20	0	636	0	0	0	12	0	0	0
RTF079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1689	0	375	0	338	0	0	5164	261	4	0	0	0	0	0	213	11	36	0	0	0	8	19	0	0	0	0	0	0	306	0	0	0	17975	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	1720	337	0	22	0	0	0	0	178	0	782	0	0	0	0	118	129	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	5	1853	0	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0	0	0	0	0	0	0	930	0	9	102	0	0	15	133	845	6	0	0	9	58	0	21	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	1355	0	663	0	0	0	0	0	0	0	0	79	0	1722	1220	0	0	27	273	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	3	0	0	0	0	0	0	0	120	0	0	0	0	0	0	86	7	0	43	0	0	0	33	0	1279	0	0	0	36	0	0	0
RTF080	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2058	0	253	0	652	0	0	4961	109	0	0	0	7	0	0	318	55	82	21	0	0	7	20	0	0	0	0	0	0	846	0	0	0	8747	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	412	72	0	22	0	0	0	50	182	0	1090	0	0	0	0	265	187	0	0	0	0	7	63	0	0	0	0	0	0	0	0	0	0	0	170	6	0	0	0	0	3225	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	3	0	1223	0	0	182	0	0	6	204	969	0	0	0	0	106	12	25	0	0	0	0	14	0	77	0	7	0	0	0	0	0	0	13	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	1759	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	649	0	241	0	0	0	0	0	0	0	0	12	0	763	447	0	0	0	431	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	116	12	0	101	0	0	0	76	0	1884	0	0	0	23	0	8	0
RTF102	96	0	80	26	27	18	5	0	433	133	83	0	163	106	0	370	67	778	10	214	0	0	1815	0	23	0	0	0	50	0	34	17	190	0	33	0	71	96	0	0	2	166	0	100	72	15	0	4	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	58	0	0	820	0	0	81	24	37	826	0	6	144	14	102	258	18	46	107	87	626	100	10582	26	1931	0	0	63	9	0	0	26	9	51	188	0	1395	35	18	17	31	62	55	0	0	92	35	0	204	47	89	0	42	9	103	23	54	0	0	0	0	84	10	0	38	23	0	40	3996	59	108	533	0	342	50	171	1335	54	0	7	0	16	145	97	0	0	4	68	14	177	197	0	427	9	0	9	0	0	58	317	12	152	63	0	17	42	1180	10	6	23	18	281	0	42	0	0	3	0	8	32	0	142	0	6	122	38	8	336	0	1289	0	19	188	55	42	73	0	199	207	3823	843	0	227	26	6	251	102	0	63	0	0	33	23	0	0	61	0	0	136	0	0	0	432	13	13	55	3	0	0	3	75	30	6	0	211	90	16	1010	38	153	14	0	34	9	5	35	0	0	0	14	0	169	895	82	89	17	111	984	0	96	98	382	66	24	101	389	438	24	2068	71	327	84	192	0	195	5
RTF103	53	0	73	0	7	0	32	0	94	73	17	0	119	26	0	63	8	213	0	39	0	0	590	0	0	0	0	0	0	0	5	5	121	0	4	0	14	39	2	0	0	49	0	0	25	0	0	0	127	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	13	0	0	1140	0	0	20	0	3	465	0	19	30	32	36	240	0	14	50	63	433	0	1505	150	234	0	0	119	0	0	0	0	0	16	40	0	260	0	0	0	0	8	0	0	9	0	2	0	72	14	53	0	98	0	145	0	51	0	0	0	0	83	0	0	0	0	0	11	2383	37	0	1374	0	103	46	91	686	27	0	0	0	18	132	26	0	0	0	28	6	73	85	0	107	0	0	0	0	0	7	658	0	68	0	0	14	0	346	0	0	125	89	0	0	0	0	0	0	0	0	24	0	21	0	0	46	11	0	1059	19	858	0	9	31	0	0	93	0	89	179	725	517	0	66	17	0	208	0	19	0	0	0	17	0	0	0	0	0	26471	40	45	0	0	101	0	0	74	0	0	0	8	74	0	0	0	57	300	29	192	44	18	0	9	20	0	6	0	5	0	0	0	0	0	285	66	68	0	51	215	0	10	0	43	0	12	15	64	106	8	620	12	139	47	37	0	263	8
RTF105	0	0	0	0	0	0	0	0	29	0	0	0	9	0	0	21	0	145	0	0	0	0	38	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	8	113	34	143	18	33	9	0	0	0	0	0	36	0	18	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	88	14	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	239	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	17	277	0	0	0	27	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	11	24	0	0	0	0	0	0	596	24756	0	0	0	89	0	0	194	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	47	153	0	0	0	0	0	0	150	0
RTF106	42	0	0	0	17	0	71	0	169	692	160	0	60	110	0	350	152	917	0	729	0	0	2175	75	9	0	0	0	0	0	10	14	384	0	132	0	87	131	0	28	28	126	0	0	264	0	0	0	114	0	0	0	6	0	0	0	0	0	0	169	0	0	0	0	0	15	0	0	127	0	0	21	36	0	592	0	33	197	91	22	269	73	44	102	112	1128	104	2887	0	977	99	0	92	0	0	0	86	0	0	56	3	108	38	0	0	114	62	0	30	0	241	101	23	198	0	94	0	0	0	0	0	22	0	51	0	0	37	0	8	11	0	6	6	1903	58	114	323	0	145	47	151	681	0	0	0	0	44	0	23	0	0	0	31	0	63	143	14	721	0	0	42	0	0	20	154	43	61	29	0	0	5	984	0	9	13	23	0	0	18	0	0	0	36	0	0	0	241	7	0	0	55	0	134	0	51	7	0	0	0	0	0	89	134	208	1255	419	18	187	76	0	0	252	66	0	8	0	44	0	0	0	0	0	0	198	0	0	0	114	0	0	0	14	8	0	8	312	0	0	17	237	21	0	641	24	66	51	0	14	17	109	43	0	0	11	0	0	396	255	152	313	0	60	654	0	0	166	605	19	0	58	433	374	13	914	51	463	10	11	42	24	0
RTF107	0	0	0	0	0	0	0	0	41	0	18	0	0	0	0	0	7	48	0	55	0	0	155	0	0	0	0	0	0	0	0	0	23	0	0	0	0	3	0	0	0	109	0	0	0	0	0	0	22	0	0	0	0	4	16	0	0	0	0	0	8	0	0	0	32	0	0	0	101	0	0	0	0	0	177	0	0	48	0	0	74	16	0	12	0	43	0	560	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	7	0	0	0	10	0	0	0	5	0	0	0	12	0	0	0	0	14	0	0	0	13	0	52	314	50	0	24	0	130	0	0	185	28	0	0	0	0	0	0	0	0	0	0	0	54	0	16	111	0	0	0	0	0	0	36	0	24	73	0	0	0	58	0	0	35	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	4	0	0	67	7	12	15	13	80	19	0	0	0	0	103	0	0	0	21	0	0	0	0	0	0	0	0	32	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	72	36	0	144	0	10	0	0	8	0	0	0	0	0	0	0	0	0	8	0	7	0	17	95	0	0	0	46	0	8	0	0	100	0	293	0	25	0	32	0	89	0
RTF108	0	0	0	0	21	0	0	0	322	160	44	0	37	58	0	187	18	1289	0	553	0	4	1774	36	6	0	0	0	0	0	29	20	81	0	7	0	23	86	0	22	0	192	0	0	2998	11	0	0	8371	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	87	68	0	0	4	0	0	25	0	0	107	0	0	0	0	29	59	0	0	0	0	0	876	0	0	0	0	0	0	9	0	0	41	0	194	0	0	9	0	141	612	0	0	43	6	0	27	0	0	0	0	0	0	19	19	0	28	0	26	0	0	0	22	14	0	26	1882	0	31	548	0	202	0	31	830	23	0	0	0	11	13	63	0	3	0	0	0	66	40	0	281	2	0	13	0	0	0	14	0	11	37	0	13	0	0	0	0	0	0	0	0	18	0	0	0	0	4	0	0	0	0	0	23	324	0	0	0	0	0	0	66	25	38	0	0	119	0	408	0	0	0	32	0	33	0	291	31	0	0	34	0	8	0	0	12	5747	6770	279	0	24	67	25	0	260	4	0	0	2	88	20	0	0	127	0	16	666	0	87	0	0	50	8	5	5	0	5	0	0	0	19	229	71	0	0	40	614	0	40	90	157	23	37	61	246	157	9	1287	23	504	140	92	0	0	0
RTF109	5	5	0	0	10	0	0	5	199	87	62	0	5	57	0	105	16	2378	0	779	0	10	2857	24	9	0	0	0	0	0	25	0	46	0	0	0	5	41	0	18	0	243	0	0	666	0	6	0	2236	0	0	0	0	0	0	0	0	0	15	46	0	0	0	0	0	0	0	7	382	7	0	0	7	42	278	9	0	83	2	11	23	0	90	45	0	108	49	946	0	912	0	0	11	16	0	0	9	0	0	44	0	132	0	6	5	18	123	146	2	0	27	0	0	11	0	0	0	0	0	0	19	0	3	41	0	27	0	0	8	0	13	0	0	985	28	16	108	0	82	0	27	681	14	0	0	0	7	0	29	0	0	0	2	0	41	50	0	169	0	0	11	17	0	3	73	0	49	23	0	16	45	295	11	4	53	23	0	4	0	0	4	3	0	9	0	8	91	0	7	25	523	0	0	0	151	0	45	54	49	17	0	23	103	86	667	252	0	29	29	0	130	16	498	54	0	0	9	0	0	0	4	25	175	19303	201	0	42	51	58	0	482	0	0	4	0	40	12	0	0	118	0	35	444	20	21	7	0	46	13	0	6	0	0	0	0	5	55	185	46	22	0	18	406	0	60	50	186	58	31	68	144	139	16	888	42	339	80	119	0	51	10
RTF110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	33906	9342	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
